"Total","Positive","Negative","Final decision"
246,46,200,-154
9,0,9,-9
6,0,6,-6
6,0,6,-6
1,0,1,-1
1,0,1,-1
1,0,1,-1
10,4,6,-2
5,1,4,-3
3,0,3,-3
1,0,1,-1
1,0,1,-1
18,1,17,-16
7,1,6,-5
68,14,54,-40
25,4,21,-17
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
16,4,12,-8
1,0,1,-1
4,0,4,-4
137,7,130,-123
3,0,3,-3
2,0,2,-2
1,0,1,-1
13,1,12,-11
1,0,1,-1
14,0,14,-14
107,10,97,-87
1,0,1,-1
1,0,1,-1
3,0,3,-3
80,15,65,-50
1,0,1,-1
21,0,21,-21
2,0,2,-2
4,0,4,-4
3,0,3,-3
6,1,5,-4
3,1,2,-1
1,1,0,1
1,0,1,-1
19,3,16,-13
10,1,9,-8
1,0,1,-1
1,0,1,-1
4,0,4,-4
1,0,1,-1
1,0,1,-1
23,4,19,-15
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
2,0,2,-2
50,4,46,-42
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
4,0,4,-4
7,0,7,-7
44,7,37,-30
1,0,1,-1
1,0,1,-1
1,0,1,-1
6,1,5,-4
3,0,3,-3
6,2,4,-2
1,0,1,-1
66,7,59,-52
2,0,2,-2
1,0,1,-1
1,0,1,-1
3,0,3,-3
9,1,8,-7
13,0,13,-13
52,8,44,-36
11,0,11,-11
1,0,1,-1
4,0,4,-4
5,1,4,-3
23,4,19,-15
3,1,2,-1
6,0,6,-6
3,0,3,-3
6,1,5,-4
7,5,2,3
48,6,42,-36
20,1,19,-18
2,1,1,0
4,1,3,-2
1,0,1,-1
8,1,7,-6
15,1,14,-13
2,0,2,-2
6,1,5,-4
12,0,12,-12
2,0,2,-2
9,2,7,-5
7,2,5,-3
46,4,42,-38
1,0,1,-1
2,0,2,-2
6,1,5,-4
1,1,0,1
5,1,4,-3
21,6,15,-9
3,1,2,-1
103,10,93,-83
1,0,1,-1
2,0,2,-2
1,1,0,1
1,0,1,-1
1,0,1,-1
2,0,2,-2
9,0,9,-9
1,0,1,-1
8,0,8,-8
1,0,1,-1
2,1,1,0
1,0,1,-1
18,3,15,-12
1,0,1,-1
1,0,1,-1
9,3,6,-3
1,0,1,-1
5,0,5,-5
1,0,1,-1
1,0,1,-1
14,2,12,-10
1,0,1,-1
1,0,1,-1
2,0,2,-2
3,0,3,-3
7,0,7,-7
12,3,9,-6
24,1,23,-22
1,0,1,-1
66,17,49,-32
6,0,6,-6
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
41,5,36,-31
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
1,0,1,-1
3,1,2,-1
4,0,4,-4
1,0,1,-1
33,6,27,-21
1,0,1,-1
28,7,21,-14
13,3,10,-7
1,0,1,-1
1,0,1,-1
6,2,4,-2
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
13,3,10,-7
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,1,0,1
1,1,0,1
5,2,3,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
25,8,17,-9
7,0,7,-7
17,1,16,-15
3,0,3,-3
1,0,1,-1
64,6,58,-52
1,0,1,-1
1,0,1,-1
26,2,24,-22
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,1,2,-1
2,0,2,-2
45,0,45,-45
1,0,1,-1
8,1,7,-6
1,0,1,-1
1,0,1,-1
1,1,0,1
2,1,1,0
1,0,1,-1
1,0,1,-1
1,0,1,-1
5,0,5,-5
12,3,9,-6
2,0,2,-2
1,0,1,-1
9,1,8,-7
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
1,0,1,-1
3,0,3,-3
1,0,1,-1
1,0,1,-1
1,0,1,-1
2,0,2,-2
1,0,1,-1
28,4,24,-20
1,0,1,-1
24,2,22,-20
1,0,1,-1
1,0,1,-1
139,26,113,-87
4,2,2,0
10,1,9,-8
3,0,3,-3
8,2,6,-4
1,1,0,1
5,1,4,-3
14,4,10,-6
3,2,1,1
1,1,0,1
1,1,0,1
1,1,0,1
1,0,1,-1
6,2,4,-2
2,1,1,0
11,1,10,-9
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
1,1,0,1
9,3,6,-3
1,1,0,1
1,1,0,1
39,9,30,-21
3,1,2,-1
2,1,1,0
24,3,21,-18
1,1,0,1
1,1,0,1
2,1,1,0
5,3,2,1
1,1,0,1
1,1,0,1
1,1,0,1
3,3,0,3
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
9,1,8,-7
1,1,0,1
1,1,0,1
1,1,0,1
17,5,12,-7
2,0,2,-2
11,3,8,-5
133,21,112,-91
1,1,0,1
5,2,3,-1
7,3,4,-1
1,1,0,1
1,1,0,1
20,1,19,-18
7,2,5,-3
1,1,0,1
1,1,0,1
21,3,18,-15
7,2,5,-3
1,1,0,1
1,1,0,1
79,8,71,-63
1,1,0,1
1,0,1,-1
1,1,0,1
1,1,0,1
4,3,1,2
1,1,0,1
1,1,0,1
1,1,0,1
12,5,7,-2
38,3,35,-32
2,1,1,0
1,1,0,1
1,1,0,1
2,1,1,0
47,5,42,-37
17,5,12,-7
1,1,0,1
2,1,1,0
18,2,16,-14
12,3,9,-6
1,1,0,1
28,2,26,-24
5,1,4,-3
8,2,6,-4
3,2,1,1
1,1,0,1
16,4,12,-8
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
4,1,3,-2
1,1,0,1
1,1,0,1
2,2,0,2
2,2,0,2
1,1,0,1
11,2,9,-7
5,0,5,-5
1,1,0,1
4,1,3,-2
3,2,1,1
1,1,0,1
2,1,1,0
1,1,0,1
1,1,0,1
1,0,1,-1
19,1,18,-17
5,2,3,-1
1,1,0,1
